model,lake,cali,metric,value
Simstrat-LER,Hassel,uncalibrated,nse,-0.79062
Simstrat-LER,Hassel,uncalibrated,r,0.6597
Simstrat-LER,Hassel,uncalibrated,bias,4.21208
Simstrat-LER,Hulun,uncalibrated,rmse,3.39702
Simstrat-LER,Hulun,uncalibrated,nse,0.86909
Simstrat-LER,Hulun,uncalibrated,r,0.94096
Simstrat-LER,Hulun,uncalibrated,bias,-1.08091
Simstrat-LER,Kilpisjarvi,uncalibrated,rmse,1.90433
Simstrat-LER,Kilpisjarvi,uncalibrated,nse,0.49825
Simstrat-LER,Kilpisjarvi,uncalibrated,r,0.77395
Simstrat-LER,Kilpisjarvi,uncalibrated,bias,0.48476
Simstrat-LER,Kinneret,uncalibrated,rmse,3.15175
Simstrat-LER,Kinneret,uncalibrated,nse,0.52276
Simstrat-LER,Kinneret,uncalibrated,r,0.84769
Simstrat-LER,Kinneret,uncalibrated,bias,2.01276
Simstrat-LER,Kivu,uncalibrated,rmse,0.97916
Simstrat-LER,Kivu,uncalibrated,nse,-3.27801
Simstrat-LER,Kivu,uncalibrated,r,0.44849
Simstrat-LER,Kivu,uncalibrated,bias,0.88227
Simstrat-LER,Klicava,uncalibrated,rmse,2.27295
Simstrat-LER,Klicava,uncalibrated,nse,0.90149
Simstrat-LER,Klicava,uncalibrated,r,0.95863
Simstrat-LER,Klicava,uncalibrated,bias,0.81267
Simstrat-LER,Kuivajarvi,uncalibrated,rmse,2.96737
Simstrat-LER,Kuivajarvi,uncalibrated,nse,0.74003
Simstrat-LER,Kuivajarvi,uncalibrated,r,0.94509
Simstrat-LER,Kuivajarvi,uncalibrated,bias,0.44178
Simstrat-LER,Langtjern,uncalibrated,rmse,4.02267
Simstrat-LER,Langtjern,uncalibrated,nse,-0.17582
Simstrat-LER,Langtjern,uncalibrated,r,0.81401
Simstrat-LER,Langtjern,uncalibrated,bias,0.50897
Simstrat-LER,Laramie,uncalibrated,rmse,6.0168
Simstrat-LER,Laramie,uncalibrated,nse,-1.79374
Simstrat-LER,Laramie,uncalibrated,r,0.32553
Simstrat-LER,Laramie,uncalibrated,bias,4.64709
Simstrat-LER,LowerLakeZurich,uncalibrated,rmse,2.20505
Simstrat-LER,LowerLakeZurich,uncalibrated,nse,0.79412
Simstrat-LER,LowerLakeZurich,uncalibrated,r,0.9479
Simstrat-LER,LowerLakeZurich,uncalibrated,bias,1.55768
Simstrat-LER,Mendota,uncalibrated,rmse,3.54572
Simstrat-LER,Mendota,uncalibrated,nse,0.68863
Simstrat-LER,Mendota,uncalibrated,r,0.90472
Simstrat-LER,Mendota,uncalibrated,bias,1.50959
Simstrat-LER,Monona,uncalibrated,rmse,4.71979
Simstrat-LER,Monona,uncalibrated,nse,0.39912
Simstrat-LER,Monona,uncalibrated,r,0.8547
Simstrat-LER,Monona,uncalibrated,bias,2.06883
Simstrat-LER,Mozhaysk,uncalibrated,rmse,3.26892
Simstrat-LER,Mozhaysk,uncalibrated,nse,0.84589
Simstrat-LER,Mozhaysk,uncalibrated,r,0.96314
Simstrat-LER,Mozhaysk,uncalibrated,bias,0.99815
Simstrat-LER,MtBold,uncalibrated,rmse,2.9284
Simstrat-LER,MtBold,uncalibrated,nse,0.43356
Simstrat-LER,MtBold,uncalibrated,r,0.88895
Simstrat-LER,MtBold,uncalibrated,bias,2.28292
Simstrat-LER,Muggelsee,uncalibrated,rmse,1.30215
Simstrat-LER,Muggelsee,uncalibrated,nse,0.96141
Simstrat-LER,Muggelsee,uncalibrated,r,0.99532
Simstrat-LER,Muggelsee,uncalibrated,bias,0.82972
Simstrat-LER,Murten,uncalibrated,rmse,1.13887
Simstrat-LER,Murten,uncalibrated,nse,0.95087
Simstrat-LER,Murten,uncalibrated,r,0.97777
Simstrat-LER,Murten,uncalibrated,bias,-0.18837
Simstrat-LER,Neuchatel,uncalibrated,rmse,1.70819
Simstrat-LER,Neuchatel,uncalibrated,nse,0.86384
Simstrat-LER,Neuchatel,uncalibrated,r,0.9778
Simstrat-LER,Neuchatel,uncalibrated,bias,1.37975
Simstrat-LER,Ngoring,uncalibrated,rmse,1.96738
Simstrat-LER,Ngoring,uncalibrated,nse,0.74095
Simstrat-LER,Ngoring,uncalibrated,r,0.97057
Simstrat-LER,Ngoring,uncalibrated,bias,-0.4476
Simstrat-LER,NohipaloMustjarv,uncalibrated,rmse,4.75027
Simstrat-LER,NohipaloMustjarv,uncalibrated,nse,0.27483
Simstrat-LER,NohipaloMustjarv,uncalibrated,r,0.83362
Simstrat-LER,NohipaloMustjarv,uncalibrated,bias,0.95261
Simstrat-LER,NohipaloValgejarv,uncalibrated,rmse,4.44617
Simstrat-LER,NohipaloValgejarv,uncalibrated,nse,0.43611
Simstrat-LER,NohipaloValgejarv,uncalibrated,r,0.8394
Simstrat-LER,NohipaloValgejarv,uncalibrated,bias,0.10977
Simstrat-LER,Okauchee,uncalibrated,rmse,3.06991
Simstrat-LER,Okauchee,uncalibrated,nse,0.80755999999999994
Simstrat-LER,Okauchee,uncalibrated,r,0.93158
Simstrat-LER,Okauchee,uncalibrated,bias,1.30019
